Table S38. Gene clusters for aromatic degradation in S. marcescens SMTT,,,
,,,
Function name,COG ID,KO ID,KEGG pathways
Phenylacetate (paa),,,
phenylacetic acid degradation protein PaaY,COG0663,KO:K02617,-
phenylacetic acid degradation operon negative regulatory protein PaaX,COG3327,KO:K02616,-
paaK phenylacetate-CoA ligase,COG1541,KO:K01912,"Biofilm formation - Vibrio cholerae, Microbial metabolism in diverse environments, Phenylalanine metabolism"
"paaJ 3-oxo-5,6-didehydrosuberyl-CoA/3-oxoadipyl-CoA thiolase",COG0183,KO:K02615,"Microbial metabolism in diverse environments, Phenylalanine metabolism"
paaI acyl-CoA thioesterase,COG2050,KO:K02614,Phenylalanine metabolism
"paaH, hbd, fadB, mmgB 3-hydroxybutyryl-CoA dehydrogenase",COG1250,KO:K00074,"Benzoate degradation, Butanoate metabolism, Carbon metabolism, Microbial metabolism in diverse environments, Phenylalanine metabolism"
"paaG 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase",COG1024,KO:K15866,"Microbial metabolism in diverse environments, Phenylalanine metabolism"
"paaF, echA enoyl-CoA hydratase",COG1024,KO:K01692,"Aminobenzoate degradation, Benzoate degradation, Biosynthesis of secondary metabolites,Butanoate metabolism, Caprolactam degradation, Fatty acid degradation, Fatty acid metabolism, Geraniol degradation, Limonene and pinene degradation, Lysine degradation, Microbial metabolism in diverse environments, Phenylalanine metabolism, Propanoate metabolism, Tryptophan metabolism, Valine, leucine and isoleucine degradation, beta-Alanine metabolism"
"paaE ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE",COG1018,KO:K02613,"Microbial metabolism in diverse environments, Phenylalanine metabolism"
"paaD ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD",COG2151,KO:K02612,"Microbial metabolism in diverse environments, Phenylalanine metabolism"
"paaC ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC",COG3396,KO:K02611,"Microbial metabolism in diverse environments, Phenylalanine metabolism"
"paaB ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB",COG3460,KO:K02610,"Microbial metabolism in diverse environments, Phenylalanine metabolism"
"paaA ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA",COG3396,KO:K02609,"Microbial metabolism in diverse environments, Phenylalanine metabolism"
"paaZ oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase",COG2030,KO:K02618,"Microbial metabolism in diverse environments, Phenylalanine metabolism"
Hydroxyphenylacetic acid (hpa),,,
hpaC flavin reductase (NADH),COG1853,KO:K00484,"Degradation of aromatic compounds, Microbial metabolism in diverse environments, Riboflavin metabolism, Tyrosine metabolism"
