Table S44. Genes for biosurfactant and lipase production in S. marcescens SMTT,,,,
,,,,
ID,Name,Definition,Gene count,COG
alpha-Linolenic acid metabolism (4),,,,
KO:K01058,pldA,phospholipase A1/A2,1,COG2829 - Outer membrane phospholipase A
KO:K00632,fadA,fadI acetyl-CoA acyltransferase,3,COG0183 - Acetyl-CoA acetyltransferase
Ether lipid metabolism (2),,,,
KO:K01114,plc,phospholipase C,1,
KO:K01058,pldA,phospholipase A1/A2,1,
Fatty acid biosynthesis (22),,,,
KO:K01963,accD,acetyl-CoA carboxylase carboxyl transferase subunit beta,1,
KO:K01962,accA,acetyl-CoA carboxylase carboxyl transferase subunit alpha,1,
KO:K01961,accC,"acetyl-CoA carboxylase, biotin carboxylase subunit",1,
KO:K02160,accB,acetyl-CoA carboxylase biotin carboxyl carrier protein,1,
KO:K00645,fabD,[acyl-carrier-protein] S-malonyltransferase,1,
KO:K00648,fabH,3-oxoacyl-[acyl-carrier-protein] synthase III,2,
KO:K00647,fabB,3-oxoacyl-[acyl-carrier-protein] synthase I,1,
KO:K09458,fabF,3-oxoacyl-[acyl-carrier-protein] synthase II,2,
KO:K00059,fabG,3-oxoacyl-[acyl-carrier protein] reductase,5,
KO:K01716,fabA,3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase,1,
KO:K02372,fabZ,3-hydroxyacyl-[acyl-carrier-protein] dehydratase,2,
KO:K00209,fabV,enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+),1,
KO:K01897,"ACSL, fadD",long-chain acyl-CoA synthetase,3,
Fattyacid degradation (17),,,,
KO:K01897,"ACSL, fadD",long-chain acyl-CoA synthetase,3,
KO:K06445,fadE,acyl-CoA dehydrogenase,1,
KO:K01782,fadJ,3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase,1,
KO:K01825,fadB,3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase,1,
KO:K01692,"paaF, echA",enoyl-CoA hydratase,2,
