marker_id	identifier_type	identifier	reference_status	reference_name	catalog_interpretation	audit_status	notes
pmoABC	EC	1.14.18.3	EXISTS	methane monooxygenase (particulate)	Particulate Methane Monooxygenase (pmoABC)	PASS	-
mmoXYZ	EC	1.14.13.25	EXISTS	methane monooxygenase (soluble)	Soluble Methane Monooxygenase (mmoXYZ)	PASS	-
prmABCD	EC	1.14.13.-	WILDCARD	With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor	Propane Monooxygenase (prmABCD / bmo)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: prmABCD, pbmoABC, sbmoXYZ, tmo_tod, isoA_I, xamo_xec
pbmoABC	EC	1.14.13.-	WILDCARD	With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor	Membrane-bound Alkane/Butane Monooxygenase (pbmoA/B/C)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: prmABCD, pbmoABC, sbmoXYZ, tmo_tod, isoA_I, xamo_xec
sbmoXYZ	EC	1.14.13.-	WILDCARD	With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor	Soluble Alkane Monooxygenase Subunits (sbmoX/Y/Z)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: prmABCD, pbmoABC, sbmoXYZ, tmo_tod, isoA_I, xamo_xec
ahyA	EC	1.17.99.-	WILDCARD	With unknown physiological acceptors	Molybdopterin-family Alkane C2 Methylene Hydroxylase (ahyA)	NONSPECIFIC	wildcard EC is broad contextual evidence
alkB	EC	1.14.15.3	EXISTS	alkane 1-monooxygenase	Alkane 1-monooxygenase (alkB / alkB1 / alkB2)	PASS	-
CYP153	EC	1.14.15.-	WILDCARD	With reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen into the other donor	Cytochrome P450 Alkane Hydroxylase (CYP153)	NONSPECIFIC	wildcard EC is broad contextual evidence
rubAB	EC	1.18.1.1	EXISTS	rubredoxin---NAD+ reductase	Rubredoxin & Rubredoxin Reductase (rubA/rubB)	PASS	-
alkJ	EC	1.1.1.1	EXISTS	alcohol dehydrogenase	Alcohol Dehydrogenase (alkJ / Alkane pathway)	PASS	-
alkJ	EC	1.1.99.8	HISTORICAL_TRANSFERRED	alcohol dehydrogenase (acceptor)	Alcohol Dehydrogenase (alkJ / Alkane pathway)	REPLACE	transferred EC; successor(s): 1.1.2.7, 1.1.2.8
alkH	EC	1.2.1.3	EXISTS	aldehyde dehydrogenase (NAD+)	Aldehyde Dehydrogenase (alkH / Alkane pathway)	PASS	-
alkK	EC	6.2.1.3	EXISTS	long-chain-fatty-acid---CoA ligase	Fatty Acyl-CoA Synthetase (alkK)	PASS	-
ladA	EC	1.14.14.28	EXISTS	long-chain alkane monooxygenase	Long-chain Alkane Monooxygenase LadA/LadB (Flavoprotein C15-C36)	PASS	-
almA	EC	1.14.14.-	WILDCARD	With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor	Long-chain Alkane Hydroxylase AlmA/AlmA1/AlmA3 (Flavin-binding C20-C32)	NONSPECIFIC	wildcard EC is broad contextual evidence
tmo_tod	EC	1.14.13.-	WILDCARD	With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor	Toluene / BTEX Monooxygenase (tmoABCDEF / todC1C2BA)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: prmABCD, pbmoABC, sbmoXYZ, tmo_tod, isoA_I, xamo_xec
