marker_id	identifier_type	identifier	reference_status	reference_name	catalog_interpretation	audit_status	notes
pmoABC	KO	K10944	EXISTS	pmoA; methane monooxygenase subunit A [EC:1.14.18.3]	Particulate Methane Monooxygenase (pmoABC)	PASS	embedded ECs: 1.14.18.3
pmoABC	KO	K10945	EXISTS	pmoB-amoB; methane/ammonia monooxygenase subunit B	Particulate Methane Monooxygenase (pmoABC)	PASS	-
pmoABC	KO	K10946	EXISTS	pmoC-amoC; methane/ammonia monooxygenase subunit C	Particulate Methane Monooxygenase (pmoABC)	PASS	-
mmoXYZ	KO	K16157	EXISTS	mmoX; methane monooxygenase component A alpha chain [EC:1.14.13.25]	Soluble Methane Monooxygenase (mmoXYZ)	PASS	embedded ECs: 1.14.13.25
mmoXYZ	KO	K16158	EXISTS	mmoY; methane monooxygenase component A beta chain [EC:1.14.13.25]	Soluble Methane Monooxygenase (mmoXYZ)	PASS	embedded ECs: 1.14.13.25
mmoXYZ	KO	K16159	EXISTS	mmoZ; methane monooxygenase component A gamma chain [EC:1.14.13.25]	Soluble Methane Monooxygenase (mmoXYZ)	PASS	embedded ECs: 1.14.13.25
mmoXYZ	KO	K16160	EXISTS	mmoB; methane monooxygenase regulatory protein B	Soluble Methane Monooxygenase (mmoXYZ)	PASS	-
mmoXYZ	KO	K16161	EXISTS	mmoC; methane monooxygenase component C [EC:1.14.13.25]	Soluble Methane Monooxygenase (mmoXYZ)	PASS	embedded ECs: 1.14.13.25
mmoXYZ	KO	K16162	EXISTS	mmoD; methane monooxygenase component D	Soluble Methane Monooxygenase (mmoXYZ)	PASS	-
pbmoABC	KO	K21320	EXISTS	bmoC; butane monooxygenase reductase	Membrane-bound Alkane/Butane Monooxygenase (pbmoA/B/C)	PASS	-
pbmoABC	KO	K21321	EXISTS	bmoB; butane monooxygenase regulatory protein	Membrane-bound Alkane/Butane Monooxygenase (pbmoA/B/C)	PASS	-
alkB	KO	K00496	EXISTS	alkB1_2, alkM; alkane 1-monooxygenase [EC:1.14.15.3]	Alkane 1-monooxygenase (alkB / alkB1 / alkB2)	PASS	embedded ECs: 1.14.15.3
alkJ	KO	K00001	EXISTS	ADH; alcohol dehydrogenase [EC:1.1.1.1]	Alcohol Dehydrogenase (alkJ / Alkane pathway)	PASS	embedded ECs: 1.1.1.1
alkJ	KO	K13953	EXISTS	adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]	Alcohol Dehydrogenase (alkJ / Alkane pathway)	PASS	embedded ECs: 1.1.1.1
alkH	KO	K00128	EXISTS	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	Aldehyde Dehydrogenase (alkH / Alkane pathway)	PASS	embedded ECs: 1.2.1.3
alkK	KO	K01897	EXISTS	ACSL, fadD; long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]	Fatty Acyl-CoA Synthetase (alkK)	PASS	embedded ECs: 6.2.1.3
ladA	KO	K20938	EXISTS	ladA; long-chain alkane monooxygenase [EC:1.14.14.28]	Long-chain Alkane Monooxygenase LadA/LadB (Flavoprotein C15-C36)	PASS	embedded ECs: 1.14.14.28
tmo_tod	KO	K15760	EXISTS	tmoA, tbuA1, touA; toluene monooxygenase system protein A [EC:1.14.13.236 1.14.13.-]	Toluene / BTEX Monooxygenase (tmoABCDEF / todC1C2BA)	PASS	embedded ECs: 1.14.13.236, 1.14.13.-
tmo_tod	KO	K15761	EXISTS	tmoB, tbuU, touB; toluene monooxygenase system protein B [EC:1.14.13.236 1.14.13.-]	Toluene / BTEX Monooxygenase (tmoABCDEF / todC1C2BA)	PASS	embedded ECs: 1.14.13.236, 1.14.13.-
tmo_tod	KO	K15762	EXISTS	tmoC, tbuB, touC; toluene monooxygenase system ferredoxin subunit	Toluene / BTEX Monooxygenase (tmoABCDEF / todC1C2BA)	PASS	-
tmo_tod	KO	K03268	EXISTS	todC1, bedC1, tcbAa; benzene/toluene/chlorobenzene dioxygenase subunit alpha [EC:1.14.12.3 1.14.12.11 1.14.12.26]	Toluene / BTEX Monooxygenase (tmoABCDEF / todC1C2BA)	REVIEW	embedded ECs: 1.14.12.3, 1.14.12.11, 1.14.12.26; KO/EC contradiction
tmo_tod	KO	K16268	EXISTS	todC2, bedC2, tcbAb; benzene/toluene/chlorobenzene dioxygenase subunit beta [EC:1.14.12.3 1.14.12.11 1.14.12.26]	Toluene / BTEX Monooxygenase (tmoABCDEF / todC1C2BA)	REVIEW	embedded ECs: 1.14.12.3, 1.14.12.11, 1.14.12.26; KO/EC contradiction
tmo_tod	KO	K18089	EXISTS	todB, tcbAc; benzene/toluene/chlorobenzene dioxygenase ferredoxin component	Toluene / BTEX Monooxygenase (tmoABCDEF / todC1C2BA)	PASS	-
tmo_tod	KO	K18090	EXISTS	todA, tcbAd; benzene/toluene/chlorobenzene dioxygenase ferredoxin reductase component [EC:1.18.1.3 1.18.1.-]	Toluene / BTEX Monooxygenase (tmoABCDEF / todC1C2BA)	REVIEW	embedded ECs: 1.18.1.3, 1.18.1.-; KO/EC contradiction
tmo_tod	KO	K16269	EXISTS	todD, tcbB; cis-1,2-dihydrobenzene-1,2-diol/chlorobenzene dihydrodiol dehydrogenase [EC:1.3.1.19 1.3.1.119]	Toluene / BTEX Monooxygenase (tmoABCDEF / todC1C2BA)	REVIEW	embedded ECs: 1.3.1.19, 1.3.1.119; KO/EC contradiction
tmo_tod	KO	K16270	EXISTS	todE; 3-methylcatechol 2,3-dioxygenase [EC:1.13.11.-]	Toluene / BTEX Monooxygenase (tmoABCDEF / todC1C2BA)	REVIEW	embedded ECs: 1.13.11.-; KO/EC contradiction
ndo_nah	KO	K14579	EXISTS	nahAc, ndoB, nbzAc, dntAc; naphthalene 1,2-dioxygenase subunit alpha [EC:1.14.12.12 1.14.12.23 1.14.12.24]	Naphthalene / PAH Dioxygenase (ndoABC / nahAcAb / phnAc)	REVIEW	embedded ECs: 1.14.12.12, 1.14.12.23, 1.14.12.24; KO/EC contradiction
ndo_nah	KO	K14580	EXISTS	nahAd, ndoC, nbzAd, dntAd; naphthalene 1,2-dioxygenase subunit beta [EC:1.14.12.12 1.14.12.23 1.14.12.24]	Naphthalene / PAH Dioxygenase (ndoABC / nahAcAb / phnAc)	REVIEW	embedded ECs: 1.14.12.12, 1.14.12.23, 1.14.12.24; KO/EC contradiction
