marker_id	identifier_type	identifier	reference_status	reference_name	catalog_interpretation	audit_status	notes
pmoABC	KO	K10944	EXISTS	pmoA; methane monooxygenase subunit A [EC:1.14.18.3]	Particulate Methane Monooxygenase (pmoABC)	PASS	embedded ECs: 1.14.18.3
pmoABC	KO	K10945	EXISTS	pmoB-amoB; methane/ammonia monooxygenase subunit B	Particulate Methane Monooxygenase (pmoABC)	PASS	-
pmoABC	KO	K10946	EXISTS	pmoC-amoC; methane/ammonia monooxygenase subunit C	Particulate Methane Monooxygenase (pmoABC)	PASS	-
pmoABC	EC	1.14.18.3	EXISTS	methane monooxygenase (particulate)	Particulate Methane Monooxygenase (pmoABC)	PASS	-
mmoXYZ	KO	K16157	EXISTS	mmoX; methane monooxygenase component A alpha chain [EC:1.14.13.25]	Soluble Methane Monooxygenase (mmoXYZ)	PASS	embedded ECs: 1.14.13.25
mmoXYZ	KO	K16158	EXISTS	mmoY; methane monooxygenase component A beta chain [EC:1.14.13.25]	Soluble Methane Monooxygenase (mmoXYZ)	PASS	embedded ECs: 1.14.13.25
mmoXYZ	KO	K16159	EXISTS	mmoZ; methane monooxygenase component A gamma chain [EC:1.14.13.25]	Soluble Methane Monooxygenase (mmoXYZ)	PASS	embedded ECs: 1.14.13.25
mmoXYZ	KO	K16160	EXISTS	mmoB; methane monooxygenase regulatory protein B	Soluble Methane Monooxygenase (mmoXYZ)	PASS	-
mmoXYZ	KO	K16161	EXISTS	mmoC; methane monooxygenase component C [EC:1.14.13.25]	Soluble Methane Monooxygenase (mmoXYZ)	PASS	embedded ECs: 1.14.13.25
mmoXYZ	KO	K16162	EXISTS	mmoD; methane monooxygenase component D	Soluble Methane Monooxygenase (mmoXYZ)	PASS	-
mmoXYZ	EC	1.14.13.25	EXISTS	methane monooxygenase (soluble)	Soluble Methane Monooxygenase (mmoXYZ)	PASS	-
prmABCD	EC	1.14.13.-	WILDCARD	With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor	Propane Monooxygenase (prmABCD / bmo)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: prmABCD, pbmoABC, sbmoXYZ, tmo_tod, isoA_I, xamo_xec
pbmoABC	KO	K21320	EXISTS	bmoC; butane monooxygenase reductase	Membrane-bound Alkane/Butane Monooxygenase (pbmoA/B/C)	PASS	-
pbmoABC	KO	K21321	EXISTS	bmoB; butane monooxygenase regulatory protein	Membrane-bound Alkane/Butane Monooxygenase (pbmoA/B/C)	PASS	-
pbmoABC	EC	1.14.13.-	WILDCARD	With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor	Membrane-bound Alkane/Butane Monooxygenase (pbmoA/B/C)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: prmABCD, pbmoABC, sbmoXYZ, tmo_tod, isoA_I, xamo_xec
sbmoXYZ	EC	1.14.13.-	WILDCARD	With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor	Soluble Alkane Monooxygenase Subunits (sbmoX/Y/Z)	NONSPECIFIC	wildcard EC is broad contextual evidence; shared across markers: prmABCD, pbmoABC, sbmoXYZ, tmo_tod, isoA_I, xamo_xec
ahyA	EC	1.17.99.-	WILDCARD	With unknown physiological acceptors	Molybdopterin-family Alkane C2 Methylene Hydroxylase (ahyA)	NONSPECIFIC	wildcard EC is broad contextual evidence
alkB	KO	K00496	EXISTS	alkB1_2, alkM; alkane 1-monooxygenase [EC:1.14.15.3]	Alkane 1-monooxygenase (alkB / alkB1 / alkB2)	PASS	embedded ECs: 1.14.15.3
alkB	EC	1.14.15.3	EXISTS	alkane 1-monooxygenase	Alkane 1-monooxygenase (alkB / alkB1 / alkB2)	PASS	-
CYP153	EC	1.14.15.-	WILDCARD	With reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen into the other donor	Cytochrome P450 Alkane Hydroxylase (CYP153)	NONSPECIFIC	wildcard EC is broad contextual evidence
rubAB	EC	1.18.1.1	EXISTS	rubredoxin---NAD+ reductase	Rubredoxin & Rubredoxin Reductase (rubA/rubB)	PASS	-
alkJ	KO	K00001	EXISTS	ADH; alcohol dehydrogenase [EC:1.1.1.1]	Alcohol Dehydrogenase (alkJ / Alkane pathway)	PASS	embedded ECs: 1.1.1.1
alkJ	KO	K13953	EXISTS	adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]	Alcohol Dehydrogenase (alkJ / Alkane pathway)	PASS	embedded ECs: 1.1.1.1
alkJ	EC	1.1.1.1	EXISTS	alcohol dehydrogenase	Alcohol Dehydrogenase (alkJ / Alkane pathway)	PASS	-
alkJ	EC	1.1.99.8	HISTORICAL_TRANSFERRED	alcohol dehydrogenase (acceptor)	Alcohol Dehydrogenase (alkJ / Alkane pathway)	REPLACE	transferred EC; successor(s): 1.1.2.7, 1.1.2.8
alkH	KO	K00128	EXISTS	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	Aldehyde Dehydrogenase (alkH / Alkane pathway)	PASS	embedded ECs: 1.2.1.3
alkH	EC	1.2.1.3	EXISTS	aldehyde dehydrogenase (NAD+)	Aldehyde Dehydrogenase (alkH / Alkane pathway)	PASS	-
alkK	KO	K01897	EXISTS	ACSL, fadD; long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]	Fatty Acyl-CoA Synthetase (alkK)	PASS	embedded ECs: 6.2.1.3
alkK	EC	6.2.1.3	EXISTS	long-chain-fatty-acid---CoA ligase	Fatty Acyl-CoA Synthetase (alkK)	PASS	-
ladA	KO	K20938	EXISTS	ladA; long-chain alkane monooxygenase [EC:1.14.14.28]	Long-chain Alkane Monooxygenase LadA/LadB (Flavoprotein C15-C36)	PASS	embedded ECs: 1.14.14.28
ladA	EC	1.14.14.28	EXISTS	long-chain alkane monooxygenase	Long-chain Alkane Monooxygenase LadA/LadB (Flavoprotein C15-C36)	PASS	-
almA	EC	1.14.14.-	WILDCARD	With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor	Long-chain Alkane Hydroxylase AlmA/AlmA1/AlmA3 (Flavin-binding C20-C32)	NONSPECIFIC	wildcard EC is broad contextual evidence
tmo_tod	KO	K15760	EXISTS	tmoA, tbuA1, touA; toluene monooxygenase system protein A [EC:1.14.13.236 1.14.13.-]	Toluene / BTEX Monooxygenase (tmoABCDEF / todC1C2BA)	PASS	embedded ECs: 1.14.13.236, 1.14.13.-
